name,type,value,date
Like OOH-AHH(OOH-AHH하게),11,6754663,2015/10
Like OOH-AHH(OOH-AHH하게),11,14363784,2015/11
Like OOH-AHH(OOH-AHH하게),11,22630500,2015/12
Like OOH-AHH(OOH-AHH하게),11,32622412,2016/01
Like OOH-AHH(OOH-AHH하게),11,41587039,2016/02
Like OOH-AHH(OOH-AHH하게),11,49414474,2016/03
CHEER UP,CHEER UP,13206885,2016/04
Like OOH-AHH(OOH-AHH하게),11,56761358,2016/04
CHEER UP,CHEER UP,39015045,2016/05
Like OOH-AHH(OOH-AHH하게),11,66360613,2016/05
CHEER UP,CHEER UP,54731138,2016/06
Like OOH-AHH(OOH-AHH하게),11,74241555,2016/06
CHEER UP,CHEER UP,67319521,2016/07
Like OOH-AHH(OOH-AHH하게),11,81179184,2016/07
CHEER UP,CHEER UP,77311485,2016/08
Like OOH-AHH(OOH-AHH하게),11,86921102,2016/08
CHEER UP,CHEER UP,85250496,2016/09
Like OOH-AHH(OOH-AHH하게),11,91691992,2016/09
TT,TT,29720174,2016/10
CHEER UP,CHEER UP,94416176,2016/10
Like OOH-AHH(OOH-AHH하게),11,97563660,2016/10
TT,TT,68743157,2016/11
CHEER UP,CHEER UP,105128754,2016/11
Like OOH-AHH(OOH-AHH하게),11,105157161,2016/11
TT,TT,98818988,2016/12
CHEER UP,CHEER UP,117316111,2016/12
Like OOH-AHH(OOH-AHH하게),11,113656855,2016/12
TT,TT,124680964,2017/01
CHEER UP,CHEER UP,129435013,2017/01
Like OOH-AHH(OOH-AHH하게),11,122614205,2017/01
TT,TT,147573470,2017/02
CHEER UP,CHEER UP,140806055,2017/02
Like OOH-AHH(OOH-AHH하게),11,131111635,2017/02
KNOCK KNOCK,KNOCK KNOCK,37590671,2017/02
TT,TT,168509991,2017/03
CHEER UP,CHEER UP,152901561,2017/03
Like OOH-AHH(OOH-AHH하게),11,140784917,2017/03
KNOCK KNOCK,KNOCK KNOCK,70279643,2017/03
TT,TT,185627304,2017/04
CHEER UP,CHEER UP,163462066,2017/04
Like OOH-AHH(OOH-AHH하게),11,149195547,2017/04
KNOCK KNOCK,KNOCK KNOCK,89582014,2017/04
TT,TT,203796299,2017/05
CHEER UP,CHEER UP,174864564,2017/05
Like OOH-AHH(OOH-AHH하게),11,158407625,2017/05
KNOCK KNOCK,KNOCK KNOCK,106013470,2017/05
SIGNAL,SIGNAL,38816177,2017/05
TT,TT,221146956,2017/06
CHEER UP,CHEER UP,185556722,2017/06
Like OOH-AHH(OOH-AHH하게),11,167481290,2017/06
KNOCK KNOCK,KNOCK KNOCK,117512438,2017/06
SIGNAL,SIGNAL,66956311,2017/06
TT,TT,239367531,2017/07
CHEER UP,CHEER UP,197288661,2017/07
Like OOH-AHH(OOH-AHH하게),11,177509849,2017/07
KNOCK KNOCK,KNOCK KNOCK,128163646,2017/07
SIGNAL,SIGNAL,87230216,2017/07
TT,TT,254736439,2017/08
CHEER UP,CHEER UP,207794397,2017/08
Like OOH-AHH(OOH-AHH하게),11,186562255,2017/08
KNOCK KNOCK,KNOCK KNOCK,136935125,2017/08
SIGNAL,SIGNAL,100708624,2017/08
TT,TT,266005500,2017/09
CHEER UP,CHEER UP,214697800,2017/09
Like OOH-AHH(OOH-AHH하게),11,193087564,2017/09
KNOCK KNOCK,KNOCK KNOCK,143132238,2017/09
SIGNAL,SIGNAL,109236494,2017/09
TT,TT,277686230,2017/10
LIKEY,LIKEY,18486719,2017/10
CHEER UP,CHEER UP,221522027,2017/10
Like OOH-AHH(OOH-AHH하게),11,199876501,2017/10
KNOCK KNOCK,KNOCK KNOCK,149224155,2017/10
SIGNAL,SIGNAL,117299494,2017/10
TT,TT,290283006,2017/11
LIKEY,LIKEY,96531714,2017/11
CHEER UP,CHEER UP,228770476,2017/11
Like OOH-AHH(OOH-AHH하게),11,206668767,2017/11
KNOCK KNOCK,KNOCK KNOCK,155119170,2017/11
SIGNAL,SIGNAL,124963523,2017/11
TT,TT,305000296,2017/12
LIKEY,LIKEY,140450401,2017/12
CHEER UP,CHEER UP,237044676,2017/12
Like OOH-AHH(OOH-AHH하게),11,214803615,2017/12
Heart Shaker,Heart Shaker,71531969,2017/12
KNOCK KNOCK,KNOCK KNOCK,162112198,2017/12
SIGNAL,SIGNAL,133362318,2017/12
TT,TT,318085383,2018/01
LIKEY,LIKEY,171808646,2018/01
CHEER UP,CHEER UP,245171325,2018/01
Like OOH-AHH(OOH-AHH하게),11,223160899,2018/01
Heart Shaker,Heart Shaker,111417541,2018/01
KNOCK KNOCK,KNOCK KNOCK,168539486,2018/01
SIGNAL,SIGNAL,141530996,2018/01
Candy Pop,Candy Pop,23002000,2018/01
TT,TT,328611836,2018/02
LIKEY,LIKEY,195191828,2018/02
CHEER UP,CHEER UP,251807949,2018/02
Like OOH-AHH(OOH-AHH하게),11,229547557,2018/02
Heart Shaker,Heart Shaker,135859525,2018/02
KNOCK KNOCK,KNOCK KNOCK,173833338,2018/02
SIGNAL,SIGNAL,148022491,2018/02
Candy Pop,Candy Pop,39308521,2018/02
TT,TT,339025303,2018/03
LIKEY,LIKEY,216520795,2018/03
CHEER UP,CHEER UP,258634621,2018/03
Like OOH-AHH(OOH-AHH하게),11,232931063,2018/03
Heart Shaker,Heart Shaker,154835842,2018/03
KNOCK KNOCK,KNOCK KNOCK,180599908,2018/03
SIGNAL,SIGNAL,154481487,2018/03
Candy Pop,Candy Pop,49691716,2018/03
TT,TT,349909414,2018/04
LIKEY,LIKEY,235821521,2018/04
CHEER UP,CHEER UP,265310217,2018/04
Like OOH-AHH(OOH-AHH하게),11,236125929,2018/04
What is Love?,What is Love?,77247348,2018/04
Heart Shaker,Heart Shaker,172866354,2018/04
KNOCK KNOCK,KNOCK KNOCK,186865171,2018/04
SIGNAL,SIGNAL,160489700,2018/04
Candy Pop,Candy Pop,58478845,2018/04
TT,TT,359173797,2018/05
LIKEY,LIKEY,251779234,2018/05
CHEER UP,CHEER UP,271113508,2018/05
Like OOH-AHH(OOH-AHH하게),11,239010714,2018/05
What is Love?,What is Love?,119428535,2018/05
Heart Shaker,Heart Shaker,184789100,2018/05
KNOCK KNOCK,KNOCK KNOCK,190854845,2018/05
SIGNAL,SIGNAL,165501659,2018/05
Candy Pop,Candy Pop,67613448,2018/05
TT,TT,368920404,2018/06
LIKEY,LIKEY,267390476,2018/06
CHEER UP,CHEER UP,276928016,2018/06
Like OOH-AHH(OOH-AHH하게),11,241747381,2018/06
What is Love?,What is Love?,145332906,2018/06
Heart Shaker,Heart Shaker,196165872,2018/06
KNOCK KNOCK,KNOCK KNOCK,194897671,2018/06
SIGNAL,SIGNAL,170345428,2018/06
Candy Pop,Candy Pop,73836599,2018/06
TT,TT,380822791,2018/07
LIKEY,LIKEY,281694946,2018/07
CHEER UP,CHEER UP,283135315,2018/07
Like OOH-AHH(OOH-AHH하게),11,245158654,2018/07
What is Love?,What is Love?,166812078,2018/07
Heart Shaker,Heart Shaker,207004178,2018/07
KNOCK KNOCK,KNOCK KNOCK,199419921,2018/07
SIGNAL,SIGNAL,175462193,2018/07
Dance The Night Away,Dance The Night Away,68676620,2018/07
Candy Pop,Candy Pop,77095517,2018/07
TT,TT,392318414,2018/08
LIKEY,LIKEY,294233301,2018/08
CHEER UP,CHEER UP,288738953,2018/08
Like OOH-AHH(OOH-AHH하게),11,252137021,2018/08
What is Love?,What is Love?,183220183,2018/08
Heart Shaker,Heart Shaker,216565577,2018/08
KNOCK KNOCK,KNOCK KNOCK,203903486,2018/08
SIGNAL,SIGNAL,179757183,2018/08
Dance The Night Away,Dance The Night Away,96528787,2018/08
Candy Pop,Candy Pop,80109379,2018/08
TT,TT,403725593,2018/09
LIKEY,LIKEY,305681308,2018/09
CHEER UP,CHEER UP,294300465,2018/09
Like OOH-AHH(OOH-AHH하게),11,257905118,2018/09
What is Love?,What is Love?,195738479,2018/09
Heart Shaker,Heart Shaker,223193957,2018/09
KNOCK KNOCK,KNOCK KNOCK,206957848,2018/09
SIGNAL,SIGNAL,183411089,2018/09
Dance The Night Away,Dance The Night Away,112788640,2018/09
Candy Pop,Candy Pop,83612866,2018/09
TT,TT,411247823,2018/10
LIKEY,LIKEY,316312610,2018/10
CHEER UP,CHEER UP,299343554,2018/10
Like OOH-AHH(OOH-AHH하게),11,264196187,2018/10
What is Love?,What is Love?,209338754,2018/10
Heart Shaker,Heart Shaker,228960487,2018/10
KNOCK KNOCK,KNOCK KNOCK,209896941,2018/10
SIGNAL,SIGNAL,187117968,2018/10
Dance The Night Away,Dance The Night Away,124970305,2018/10
Candy Pop,Candy Pop,86535533,2018/10
YES OR YES,YES OR YES,86557893,2018/11
TT,TT,419048715,2018/11
LIKEY,LIKEY,328163258,2018/11
CHEER UP,CHEER UP,304972011,2018/11
Like OOH-AHH(OOH-AHH하게),11,271484493,2018/11
What is Love?,What is Love?,223338325,2018/11
Heart Shaker,Heart Shaker,233844838,2018/11
KNOCK KNOCK,KNOCK KNOCK,212906790,2018/11
SIGNAL,SIGNAL,191133919,2018/11
Dance The Night Away,Dance The Night Away,135530190,2018/11
Candy Pop,Candy Pop,89141419,2018/11
YES OR YES,YES OR YES,114686590,2018/12
TT,TT,426557531,2018/12
LIKEY,LIKEY,339642510,2018/12
CHEER UP,CHEER UP,310307365,2018/12
Like OOH-AHH(OOH-AHH하게),11,277433323,2018/12
What is Love?,What is Love?,239246031,2018/12
Heart Shaker,Heart Shaker,239014779,2018/12
KNOCK KNOCK,KNOCK KNOCK,215815500,2018/12
SIGNAL,SIGNAL,194982416,2018/12
Dance The Night Away,Dance The Night Away,143592472,2018/12
Candy Pop,Candy Pop,92009899,2018/12
YES OR YES,YES OR YES,135909880,2019/01
TT,TT,434139475,2019/01
LIKEY,LIKEY,350044127,2019/01
CHEER UP,CHEER UP,316139846,2019/01
Like OOH-AHH(OOH-AHH하게),11,283753521,2019/01
What is Love?,What is Love?,254848845,2019/01
Heart Shaker,Heart Shaker,243625662,2019/01
KNOCK KNOCK,KNOCK KNOCK,218441181,2019/01
SIGNAL,SIGNAL,199095953,2019/01
Dance The Night Away,Dance The Night Away,151153973,2019/01
Candy Pop,Candy Pop,94653786,2019/01
YES OR YES,YES OR YES,151524532,2019/02
TT,TT,440680465,2019/02
LIKEY,LIKEY,358764502,2019/02
CHEER UP,CHEER UP,321881802,2019/02
Like OOH-AHH(OOH-AHH하게),11,289455336,2019/02
What is Love?,What is Love?,267256696,2019/02
Heart Shaker,Heart Shaker,249644605,2019/02
KNOCK KNOCK,KNOCK KNOCK,220540506,2019/02
SIGNAL,SIGNAL,202870406,2019/02
Dance The Night Away,Dance The Night Away,158014994,2019/02
Candy Pop,Candy Pop,96818904,2019/02
YES OR YES,YES OR YES,164367330,2019/03
TT,TT,447009725,2019/03
LIKEY,LIKEY,367633670,2019/03
CHEER UP,CHEER UP,327626287,2019/03
Like OOH-AHH(OOH-AHH하게),11,294889243,2019/03
What is Love?,What is Love?,278319029,2019/03
Heart Shaker,Heart Shaker,257047168,2019/03
KNOCK KNOCK,KNOCK KNOCK,223411944,2019/03
SIGNAL,SIGNAL,206277279,2019/03
Dance The Night Away,Dance The Night Away,164066431,2019/03
Candy Pop,Candy Pop,98428749,2019/03
FANCY,FANCY,70393711,2019/04
YES OR YES,YES OR YES,174409867,2019/04
TT,TT,452975618,2019/04
LIKEY,LIKEY,374743090,2019/04
CHEER UP,CHEER UP,332272660,2019/04
Like OOH-AHH(OOH-AHH하게),11,299884312,2019/04
What is Love?,What is Love?,288170554,2019/04
Heart Shaker,Heart Shaker,263455431,2019/04
KNOCK KNOCK,KNOCK KNOCK,226425174,2019/04
SIGNAL,SIGNAL,209294511,2019/04
Dance The Night Away,Dance The Night Away,169236509,2019/04
Candy Pop,Candy Pop,100046460,2019/04
FANCY,FANCY,84506395,2019/05
YES OR YES,YES OR YES,176269757,2019/05
TT,TT,454613949,2019/05
LIKEY,LIKEY,376808785,2019/05
CHEER UP,CHEER UP,333628403,2019/05
Like OOH-AHH(OOH-AHH하게),11,301415855,2019/05
What is Love?,What is Love?,291054579,2019/05
Heart Shaker,Heart Shaker,265172957,2019/05
KNOCK KNOCK,KNOCK KNOCK,227307837,2019/05
SIGNAL,SIGNAL,210209628,2019/05
Dance The Night Away,Dance The Night Away,170935167,2019/05
Candy Pop,Candy Pop,100441474,2019/05
